locality,Year,house price
KIALLA,2009,320000.00 
KILCUNDA,2009,292500.00 
KILLARA (WODONGA),2009,212500.00 
KILMORE,2009,273500.00 
KILSYTH,2009,370000.00 
KILSYTH SOUTH,2009,438500.00 
KINGLAKE,2009,265000.00 
KINGS PARK,2009,285000.00 
KINGSBURY,2009,421000.00 
KINGSVILLE,2009,546500.00 
KNOXFIELD,2009,420000.00 
KOO WEE RUP,2009,280000.00 
KOONDROOK,2009,139000.00 
KOROIT,2009,210000.00 
KORUMBURRA,2009,214000.00 
KURUNJANG,2009,241500.00 
KYABRAM,2009,195000.00 
KYNETON,2009,269500.00 
LAKE BOGA,2009,149000.00 
LAKE GARDENS,2009,350000.00 
LAKE TYERS BEACH,2009,235000.00 
LAKE WENDOUREE,2009,404000.00 
LAKES ENTRANCE,2009,260000.00 
LALOR,2009,335000.00 
LANCEFIELD,2009,260500.00 
LANG LANG,2009,254000.00 
LANGWARRIN,2009,332000.00 
LARA,2009,280000.00 
LARA LAKE,2009,303000.00 
LAUNCHING PLACE,2009,284000.00 
LAVERTON,2009,310000.00 
LAVERTON SOUTH,2009,355000.00 
LEARMONTH,2009,217000.00 
LENEVA,2009,324000.00 
LEONGATHA,2009,253000.00 
LEOPOLD,2009,309000.00 
LILYDALE,2009,390000.00 
LINTON,2009,175000.00 
LISMORE,2009,110000.00 
LOCH SPORT,2009,151000.00 
LOCKINGTON,2009,124000.00 
LONG GULLY,2009,180000.00 
LONGWARRY,2009,246500.00 
LORNE,2009,755000.00 
LOVELY BANKS,2009,353500.00 
LOWER PLENTY,2009,590000.00 
LUCAS,2009,-
LUCKNOW,2009,227500.00 
LYNBROOK,2009,380000.00 
LYNDHURST,2009,357000.00 
LYSTERFIELD,2009,496000.00 
LYSTERFIELD SOUTH,2009,821000.00 
MACEDON,2009,385500.00 
MACLEOD,2009,491000.00 
MACS COVE,2009,167000.00 
MADDINGLEY,2009,258000.00 
MAFFRA,2009,200000.00 
MAIDEN GULLY,2009,336500.00 
MAIDSTONE,2009,465000.00 
MALDON,2009,245000.00 
MALLACOOTA,2009,272500.00 
MALMSBURY,2009,247500.00 
MALVERN,2009,1552000.00 
MALVERN EAST,2009,952000.00 
MANANGATANG,2009,85000.00 
MANIFOLD HEIGHTS,2009,410500.00 
MANOR LAKES,2009,311500.00 
MANSFIELD,2009,250000.00 
MARENGO,2009,365000.00 
MARIBYRNONG,2009,610000.00 
MARONG,2009,219000.00 
MARSHALL,2009,297000.00 
MARYBOROUGH,2009,152000.00 
MARYSVILLE,2009,240000.00 
MCCRAE,2009,424000.00 
MCKENZIE HILL,2009,375000.00 
MCKINNON,2009,862500.00 
MEADOW HEIGHTS,2009,300000.00 
MELTON,2009,217500.00 
MELTON SOUTH,2009,215000.00 
MELTON WEST,2009,247000.00 
MENTONE,2009,598500.00 
MENZIES CREEK,2009,343000.00 
MERBEIN,2009,151000.00 
MERINDA PARK,2009,277000.00 
MERNDA,2009,350000.00 
MERRIJIG (MANSFIELD),2009,332500.00 
METUNG,2009,260000.00 
MICKLEHAM,2009,-
MIDDLE PARK,2009,1300000.00 
MILDURA,2009,205000.00 
MILL PARK,2009,366000.00 
MILLGROVE,2009,216500.00 
MINERS REST,2009,280000.00 
MINYIP,2009,86500.00 
MIRBOO NORTH,2009,230000.00 
MITCHAM,2009,505000.00 
MITCHELL PARK,2009,229000.00 
MOE,2009,135000.00 
MONBULK,2009,325500.00 
