,locality,Year,house price
394,KOONDROOK,2009,139000
395,KOROIT,2009,210000
396,KORUMBURRA,2009,214000
397,KURUNJANG,2009,241500
398,KYABRAM,2009,195000
399,KYNETON,2009,269500
400,LAKE BOGA,2009,149000
401,LAKE GARDENS,2009,350000
402,LAKE TYERS BEACH,2009,235000
403,LAKE WENDOUREE,2009,404000
404,LAKES ENTRANCE,2009,260000
405,LALOR,2009,335000
406,LANCEFIELD,2009,260500
407,LANG LANG,2009,254000
408,LANGWARRIN,2009,332000
409,LARA,2009,280000
410,LARA LAKE,2009,303000
411,LAUNCHING PLACE,2009,284000
412,LAVERTON,2009,310000
413,LAVERTON SOUTH,2009,355000
414,LEARMONTH,2009,217000
415,LENEVA,2009,324000
416,LEONGATHA,2009,253000
417,LEOPOLD,2009,309000
418,LILYDALE,2009,390000
419,LINTON,2009,175000
420,LISMORE,2009,110000
421,LOCH SPORT,2009,151000
422,LOCKINGTON,2009,124000
423,LONG GULLY,2009,180000
424,LONGWARRY,2009,246500
425,LORNE,2009,755000
426,LOVELY BANKS,2009,353500
427,LOWER PLENTY,2009,590000
428,LUCAS,2009,-
429,LUCKNOW,2009,227500
430,LYNBROOK,2009,380000
431,LYNDHURST,2009,357000
432,LYSTERFIELD,2009,496000
433,LYSTERFIELD SOUTH,2009,821000
434,MACEDON,2009,385500
435,MACLEOD,2009,491000
436,MACS COVE,2009,167000
437,MADDINGLEY,2009,258000
438,MAFFRA,2009,200000
439,MAIDEN GULLY,2009,336500
440,MAIDSTONE,2009,465000
441,MALDON,2009,245000
442,MALLACOOTA,2009,272500
443,MALMSBURY,2009,247500
444,MALVERN,2009,1552000
445,MALVERN EAST,2009,952000
446,MANANGATANG,2009,85000
447,MANIFOLD HEIGHTS,2009,410500
448,MANOR LAKES,2009,311500
449,MANSFIELD,2009,250000
450,MARENGO,2009,365000
451,MARIBYRNONG,2009,610000
452,MARONG,2009,219000
453,MARSHALL,2009,297000
454,MARYBOROUGH,2009,152000
455,MARYSVILLE,2009,240000
456,MCCRAE,2009,424000
457,MCKENZIE HILL,2009,375000
458,MCKINNON,2009,862500
459,MEADOW HEIGHTS,2009,300000
460,MELTON,2009,217500
461,MELTON SOUTH,2009,215000
462,MELTON WEST,2009,247000
463,MENTONE,2009,598500
464,MENZIES CREEK,2009,343000
465,MERBEIN,2009,151000
466,MERINDA PARK,2009,277000
467,MERNDA,2009,350000
468,MERRIJIG (MANSFIELD),2009,332500
469,METUNG,2009,260000
470,MICKLEHAM,2009,-
471,MIDDLE PARK,2009,1300000
472,MILDURA,2009,205000
473,MILL PARK,2009,366000
474,MILLGROVE,2009,216500
475,MINERS REST,2009,280000
476,MINYIP,2009,86500
477,MIRBOO NORTH,2009,230000
478,MITCHAM,2009,505000
479,MITCHELL PARK,2009,229000
480,MOE,2009,135000
481,MONBULK,2009,325500
482,MONT ALBERT,2009,1073500
483,MONT ALBERT NORTH,2009,792000
484,MONTMORENCY,2009,474000
485,MONTROSE,2009,385500
486,MOONEE PONDS,2009,678500
487,MOORABBIN,2009,588500
488,MOOROOLBARK,2009,370000
489,MOOROOPNA,2009,205000
490,MORDIALLOC,2009,575000
491,MORNINGTON,2009,427500
492,MORTLAKE,2009,153000
493,MORWELL,2009,140000
494,MOUNT BEAUTY,2009,180000
495,MOUNT CLEAR,2009,236000
496,MOUNT DANDENONG,2009,450000
497,MOUNT DUNEED,2009,505000
498,MOUNT ELIZA,2009,625000
499,MOUNT EVELYN,2009,340000
500,MOUNT HELEN,2009,307500
501,MOUNT MACEDON,2009,476500
502,MOUNT MARTHA,2009,605000
